risk_decile,employees,attrition_count,min_probability,max_probability,attrition_rate,lift,cumulative_attrition,cumulative_employees,cumulative_attrition_capture,cumulative_population_share,gain
1,29,17,0.8230327319618813,0.9953739508059601,0.5862068965517241,3.666911225238444,17,29,0.3617021276595745,0.09863945578231292,0.26306267187726157
2,29,9,0.6403030062789249,0.8220976842007109,0.3103448275862069,1.9413059427732942,26,58,0.5531914893617021,0.19727891156462585,0.3559125777970763
3,30,8,0.45987217129651864,0.6385182826438616,0.26666666666666666,1.6680851063829787,34,88,0.723404255319149,0.29931972789115646,0.4240845274279925
4,29,6,0.3363510847032998,0.44787274521460685,0.20689655172413793,1.2942039618488628,40,117,0.851063829787234,0.3979591836734694,0.45310464611376466
5,30,2,0.25332742452298135,0.3342238692114171,0.06666666666666667,0.41702127659574467,42,147,0.8936170212765957,0.5,0.3936170212765957
6,29,2,0.16502110349334295,0.2526709590913106,0.06896551724137931,0.43140132061628755,44,176,0.9361702127659575,0.5986394557823129,0.33753075698364454
7,29,0,0.10357980360135056,0.1635964338036701,0.0,0.0,44,205,0.9361702127659575,0.6972789115646258,0.23889130120133162
8,30,1,0.05653949137725318,0.09970502476156455,0.03333333333333333,0.20851063829787234,45,235,0.9574468085106383,0.7993197278911565,0.15812708061948189
9,29,1,0.02540302752194818,0.05562260465527859,0.034482758620689655,0.21570066030814378,46,264,0.9787234042553191,0.8979591836734694,0.08076422058184973
10,30,1,0.0009253375042194521,0.02373107544216048,0.03333333333333333,0.20851063829787234,47,294,1.0,1.0,0.0
