feature,importance_mean,importance_std
overtime_flag,0.16585679987089114,0.021497831324950725
career_growth_score,0.09947616726886024,0.025587085971344358
NumCompaniesWorked,0.08288735404608828,0.012200668088019385
OverTime,0.08009651349721811,0.014274995140015536
JobLevel,0.058399456345737365,0.040300493487041046
engagement_score,0.056746887545110695,0.009365677398498515
JobSatisfaction,0.048867450536772904,0.012475521665863347
total_working_years_band,0.04277337970321874,0.025954844839776444
frequent_travel_flag,0.040821561449315036,0.020159311055631134
satisfaction_score,0.03647583090605255,0.008364232625876667
no_stock_option_flag,0.03485473838729089,0.025415274922462646
PercentSalaryHike,0.0347775873713802,0.019186808422142185
EnvironmentSatisfaction,0.03362853254089977,0.016469701312953628
distance_band,0.0331283566029186,0.01268676121382038
YearsSinceLastPromotion,0.030676486439764346,0.014269556646112222
TrainingTimesLastYear,0.026928848436993127,0.00822167201418673
YearsAtCompany,0.026608179026822207,0.013694326354398113
low_environment_satisfaction_flag,0.026100994406328792,0.016875653138599428
DailyRate,0.021421211927339173,0.00954319895870431
Department,0.02139889688796366,0.005745056146875255
TotalWorkingYears,0.018975982122967028,0.019505252247525254
StockOptionLevel,0.018850077493374584,0.007038481115173559
attrition_risk_segment,0.017422995063348372,0.017851020720786964
Gender,0.016853815493333327,0.00838456111933494
MonthlyIncome,0.016730319272786495,0.008138329219045315
income_band,0.01661598044754238,0.014705244745576771
age_band,0.015365223164150205,0.011702559041972573
Age,0.015321923206803756,0.015198052328065008
JobInvolvement,0.01463343525072397,0.01071518734478337
Education,0.014256044283285849,0.005273850096016685
BusinessTravel,0.012652609526362171,0.016160479654905077
JobRole,0.011827400769973656,0.02204474748360071
YearsInCurrentRole,0.010130998657982893,0.012080616843907419
low_relationship_satisfaction_flag,0.00855295528105142,0.002086423385184448
no_recent_promotion_flag,0.005882543641101079,0.004926336584617805
DistanceFromHome,0.005402880557064421,0.0023337067097513953
MonthlyRate,0.00528933322550143,0.0029937095292029434
RelationshipSatisfaction,0.00504672746842405,0.0024025838438970965
YearsWithCurrManager,0.004662605309205009,0.011828155324527325
compensation_to_job_level_ratio,0.00354740202296229,0.001799844414953086
PerformanceRating,0.003391336811747067,0.0009684155042936128
HourlyRate,0.0030947426486367807,0.0037526654599482436
years_with_manager_ratio,0.002472231674111147,0.0020700180690126973
MaritalStatus,0.0018747055934556778,0.007121837313430797
career_stagnation_flag,0.0018348193460105133,0.0035682344613050783
WorkLifeBalance,0.0017941768493597438,0.0016706927054968006
early_tenure_flag,0.0013476031757723994,0.001528107803040735
long_tenure_flag,0.0010510985796368666,0.0017089740034103265
low_job_satisfaction_flag,-0.003510583136301648,0.010984654006720359
low_work_life_balance_flag,-0.004017818194837819,0.005397379723528411
EducationField,-0.006929843139091105,0.01666205328109382
promotion_gap_ratio,-0.010107386062955637,0.013900884559029577
tenure_band,-0.011001664462162206,0.009834386862666748
years_at_company_band,-0.011001664462162206,0.009834386862666748
high_risk_workload_flag,-0.014840548282831934,0.005813891633738675
