EmployeeNumber,Department,JobRole,OverTime,BusinessTravel,MonthlyIncome,YearsAtCompany,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Attrition,attrition_flag,attrition_probability,risk_decile,risk_band,intervention_priority,risk_explanation
622,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2340,1,4,3,1,Yes,1,0.9980330609641103,1,Critical,Priority 1 - executive review,Works overtime; Low work-life balance; Early tenure; No stock option
1494,Research & Development,Laboratory Technician,Yes,Travel_Frequently,3172,0,1,2,2,Yes,1,0.9969017337311673,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low environment satisfaction; Low work-life balance
167,Sales,Sales Representative,Yes,Travel_Rarely,1675,0,3,4,2,Yes,1,0.9959795700168887,1,Critical,Priority 1 - executive review,Works overtime; Low work-life balance; Early tenure; No stock option
1273,Sales,Sales Representative,Yes,Travel_Frequently,1118,1,4,3,3,Yes,1,0.9953739508059601,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Early tenure; No stock option
959,Sales,Sales Representative,Yes,Travel_Rarely,2121,1,2,4,4,Yes,1,0.9950203975017916,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure; No stock option
614,Sales,Sales Representative,Yes,Travel_Frequently,1878,0,2,2,3,Yes,1,0.9948650829943034,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low environment satisfaction; Early tenure
952,Sales,Sales Representative,Yes,Travel_Rarely,2413,1,2,3,3,Yes,1,0.9940544420197762,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Early tenure
911,Research & Development,Laboratory Technician,Yes,Travel_Rarely,2795,1,4,1,1,Yes,1,0.9935832603891755,1,Critical,Priority 1 - executive review,Works overtime; Low environment satisfaction; Low work-life balance; Early tenure; No stock option
1504,Research & Development,Laboratory Technician,No,Travel_Frequently,2561,0,1,3,2,Yes,1,0.9926859157512624,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low work-life balance; Early tenure; No stock option
478,Sales,Sales Representative,Yes,Travel_Frequently,2174,3,2,1,3,Yes,1,0.9926085413625765,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low job satisfaction; Low environment satisfaction; No stock option
1968,Sales,Sales Executive,Yes,Travel_Rarely,10448,2,1,1,2,Yes,1,0.9907212638623957,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; Early tenure
235,Sales,Sales Representative,No,Travel_Frequently,2325,0,1,3,4,Yes,1,0.9902317653979269,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Early tenure; No stock option
1624,Sales,Sales Representative,Yes,Travel_Frequently,1569,0,4,2,4,Yes,1,0.9895710387274602,1,Critical,Priority 1 - executive review,Works overtime; Frequent business travel; Low environment satisfaction; Early tenure; No stock option
1758,Sales,Sales Executive,Yes,Travel_Rarely,8564,0,1,1,2,Yes,1,0.9885104000503615,1,Critical,Priority 1 - executive review,Works overtime; Low job satisfaction; Low environment satisfaction; Low work-life balance; Early tenure
1487,Sales,Sales Executive,No,Travel_Frequently,5765,5,2,1,1,Yes,1,0.9856327239119882,1,Critical,Priority 1 - executive review,Frequent business travel; Low job satisfaction; Low environment satisfaction; Low work-life balance; No stock option
